Source,Target
293,118
294,272
294,281
294,40
295,0
295,249
295,6
296,1
296,42
296,17
297,115
297,43
297,3
298,249
298,28
298,209
299,50
299,267
299,175
300,73
300,4
300,79
301,272
301,200
301,87
302,1
302,133
302,33
303,8
303,130
303,20
304,10
304,12
304,142
305,202
305,58
305,231
306,154
306,3
306,134
307,159
307,33
307,79
308,88
308,4
308,94
309,237
309,245
309,23
310,10
310,37
310,122
311,272
311,277
311,22
312,17
312,189
312,143
313,133
313,46
313,287
314,187
314,61
314,142
315,105
315,67
315,23
316,154
316,19
316,119
317,164
317,3
317,28
318,25
318,142
318,9
319,251
319,60
319,199
320,74
320,79
320,7
321,85
321,60
321,61
322,57
322,19
322,33
323,3
323,21
323,23
324,104
324,243
324,100
325,284
325,5
325,133
326,163
326,323
326,109
327,0
327,58
327,3
328,180
328,61
328,70
329,29
329,21
329,95
330,51
330,93
330,6
331,96
331,50
331,316
332,120
332,217
332,87
333,4
333,77
333,175
334,20
334,189
334,174
335,1
335,82
335,30
336,8
336,2
336,146
337,40
337,9
337,17
338,3
338,100
338,22
339,9
339,132
339,143
340,200
340,33
340,308
341,140
341,109
341,6
342,156
342,100
342,4
343,8
343,69
343,151
344,3
344,132
344,29
345,98
345,306
345,5
346,170
346,14
346,154
347,17
347,161
347,174
348,176
348,309
348,102
349,33
349,3
349,109
350,153
350,251
350,4
351,1
351,161
351,6
352,9
352,251
352,343
353,234
353,244
353,79
354,4
354,38
354,47
355,1
355,163
355,47
356,2
356,116
356,4
357,82
357,68
357,213
358,168
358,18
358,7
359,8
359,74
359,79
360,16
360,0
360,50
361,9
361,212
361,326
362,68
362,102
362,6
363,361
363,347
363,358
364,209
364,235
364,22
365,33
365,234
365,23
366,176
366,6
366,271
367,247
367,46
367,343
368,244
368,252
368,36
369,314
369,155
369,22
370,2
370,82
370,29
371,31
371,214
371,47
372,80
372,246
372,278
373,225
373,47
373,271
374,64
374,90
374,238
375,3
375,155
375,195
376,116
376,3
376,228
377,2
377,283
377,374
378,90
378,86
378,79
379,257
379,163
379,269
380,338
380,78
380,263
381,33
381,354
381,261
382,160
382,218
382,102
383,17
383,314
383,77
384,184
384,19
384,231
385,259
385,333
385,251
386,250
386,187
386,12
387,160
387,377
387,148
388,36
388,29
388,70
389,40
389,203
389,246
390,40
390,201
390,301
391,199
391,86
391,119
392,109
392,86
392,119
393,1
393,193
393,4
394,14
394,54
394,247
395,17
395,157
395,1
396,120
396,197
396,126
397,128
397,41
397,9
398,328
398,191
398,271
399,234
399,12
399,70
400,1
400,3
400,140
401,25
401,284
401,110
402,1
402,130
402,5
403,192
403,265
403,0
404,385
404,51
404,269
405,34
405,62
405,127
406,177
406,131
406,109
407,249
407,373
407,271
408,9
408,90
408,291
409,57
409,155
409,377
410,151
410,159
410,71
411,41
411,333
411,71
412,54
412,392
412,62
413,249
413,180
413,69
414,392
414,51
414,83
415,0
415,33
415,295
416,187
416,148
416,251
417,40
417,49
417,415
418,0
418,41
418,263
419,58
419,53
419,22
420,0
420,9
420,234
421,41
421,85
421,47
422,1
422,2
422,175
423,17
423,105
423,143
424,362
424,3
424,148
425,159
425,19
425,247
426,8
426,236
426,38
427,25
427,228
427,6
428,80
428,26
428,254
429,8
429,316
429,302
430,90
430,3
430,94
431,342
431,51
431,326
432,8
432,19
432,189
433,104
433,41
433,374
434,234
434,3
434,47
435,125
435,230
435,6
436,412
436,28
436,60
437,434
437,133
437,102
438,42
438,29
438,14
439,57
439,3
439,113
440,81
440,17
440,14
441,147
441,269
441,7
442,401
442,132
442,22
443,44
443,21
443,189
444,1
444,323
444,102
445,1
445,123
445,431
446,8
446,25
446,312
447,4
447,253
447,22
448,242
448,134
448,182
449,90
449,92
449,6
450,16
450,409
450,25
451,0
451,9
451,23
452,130
452,27
452,94
453,19
453,332
453,295
454,9
454,338
454,57
455,9
455,58
455,117
456,48
456,195
456,39
457,434
457,443
457,173
458,188
458,3
458,116
459,321
459,251
459,437
460,281
460,122
460,38
461,16
461,4
461,440
462,18
462,23
462,143
463,408
463,178
463,52
464,384
464,76
464,294
465,17
465,9
465,265
466,328
466,33
466,387
467,440
467,42
467,389
468,288
468,457
468,7
469,19
469,99
469,251
470,208
470,59
470,459
471,208
471,163
471,452
472,57
472,98
472,13
473,4
473,14
473,119
474,152
474,1
474,315
475,16
475,124
475,69
476,114
476,60
476,303
477,4
477,53
477,175
478,29
478,19
478,21
479,24
479,148
479,31
480,408
480,88
480,12
481,0
481,209
481,175
482,0
482,173
482,14
483,10
483,3
483,462
484,0
484,180
484,37
485,94
485,139
485,38
486,32
486,25
486,71
487,312
487,67
487,70
488,90
488,53
488,254
489,90
489,163
489,303
490,224
490,236
490,141
491,146
491,83
491,31
492,408
492,83
492,165
493,200
493,315
493,261
494,313
494,170
494,451
495,272
495,98
495,7
496,0
496,65
496,299
497,198
497,318
497,159
498,9
498,236
498,494
499,272
499,254
499,207
500,384
500,25
500,76
501,130
501,12
501,47
502,49
502,44
502,175
503,17
503,243
503,37
504,26
504,140
504,239
505,88
505,190
505,7
506,245
506,21
506,9
507,130
507,428
507,503
508,33
508,278
508,47
509,3
509,174
509,287
510,3
510,140
510,271
511,25
511,51
511,85
512,47
512,485
512,143
513,40
513,50
513,299
514,272
514,61
514,230
515,73
515,66
515,331
516,25
516,2
516,379
517,347
517,236
517,143
518,217
518,466
518,4
519,272
519,37
519,94
520,377
520,485
520,79
521,100
521,195
521,4
522,33
522,177
522,4
523,120
523,41
523,62
524,175
524,66
524,495
525,408
525,225
525,58
526,90
526,4
526,462
527,1
527,153
527,380
528,48
528,33
528,131
529,203
529,412
529,423
530,18
530,155
530,428
531,7
531,382
531,79
532,513
532,4
532,29
533,153
533,6
533,247
534,1
534,294
534,23
535,42
535,3
535,118
536,275
536,373
536,406
537,251
537,195
537,503
538,392
538,522
538,159
539,300
539,325
539,413
540,0
540,10
540,94
541,40
541,1
541,7
542,513
542,451
542,243
543,3
543,23
543,239
544,2
544,58
544,77
545,1
545,356
545,14
546,104
546,1
546,292
547,130
547,11
547,68
548,386
548,379
548,343
549,33
549,371
549,143
